x,y,phi,t
0.35,0.30625,-0.4183581058186825,0.0
0.625,0.2625,0.92088948714173,0.0
0.23125,0.46875,0.9017451810899912,0.0
0.28125,0.38125,0.0,0.0
0.25,0.4375,0.451974961446917,0.0
0.625,0.2875,-0.2449186624037091,0.0
0.7125,0.6125,-0.6061999722789452,0.0
0.69375,0.63125,-0.8516062861168385,0.0
0.625,0.7125,-0.2449186624037091,0.0
0.51875,0.75625,0.4620545229923915,0.0
0.53125,0.7375,-0.7265724307281587,0.0
0.5875,0.71875,-0.817164936247689,0.0
0.56875,0.25625,0.2449186624037091,0.0
0.63125,0.7125,0.0,0.0
0.39375,0.725,0.0,0.0
0.24375,0.50625,0.4621171539879784,0.0
0.3375,0.3,0.4996855759351278,0.0
0.45625,0.75,0.4313372698755846,0.0
0.2875,0.375,-0.2449186624037091,0.0
0.33125,0.33125,-0.7083595000127614,0.0
0.25,0.525,0.0,0.0
0.26875,0.56875,-0.595789029090437,0.0
0.73125,0.4,0.2449186624037091,0.0
0.39375,0.71875,-0.4313372698755846,0.0
0.25,0.5375,0.2449186624037091,0.0
0.3125,0.33125,0.1749580016792195,0.0
0.3,0.6375,-0.509295655940823,0.0
0.40625,0.7375,0.4313372698755846,0.0
0.49375,0.24375,0.4621171539879784,0.0
0.71875,0.36875,0.4282837434732042,0.0
0.44375,0.75,0.4613280917460522,0.0
0.34375,0.69375,-0.1749580016792195,0.0
0.75,0.55625,0.4613881621928897,0.0
0.66875,0.31875,-0.1749580016792195,0.0
0.6375,0.71875,0.5950952739266588,0.0
0.29375,0.6375,-0.1749580016792195,0.0
0.6125,0.725,0.2449186624037091,0.0
0.33125,0.68125,-0.1749580016792195,0.0
0.2625,0.43125,-0.2449186624037091,0.0
0.75625,0.50625,0.4621171539879784,0.0
0.71875,0.4,-0.6061999722789452,0.0
0.74375,0.50625,-0.4621171498414198,0.0
0.725,0.6,-0.2449186624037091,0.0
0.4625,0.75,0.2449186624037091,0.0
0.5,0.24375,0.4621171572599378,0.0
0.7375,0.4625,-0.6130523209460941,0.0
0.675,0.3375,-0.7083595000127614,0.0
0.5875,0.2625,0.2449186624037091,0.0
0.33125,0.69375,0.4856333695463859,0.0
0.3875,0.71875,-0.2449186624037091,0.0
0.3625,0.7125,0.2449186624037091,0.0
0.7,0.65,0.0,0.0
0.26875,0.39375,0.4313372698755846,0.0
0.54375,0.24375,0.7265724307281587,0.0
0.41875,0.74375,0.4491589576758795,0.0
0.50625,0.24375,0.4621171539879784,0.0
0.30625,0.34375,-0.1749580016792195,0.0
0.38125,0.7125,-0.4313372698755846,0.0
0.70625,0.61875,-0.726702672086833,0.0
0.38125,0.71875,0.0,0.0
0.25,0.53125,0.0,0.0
0.34375,0.3,0.2449186624037091,0.0
0.55,0.2625,-0.4613280917460522,0.0
